Date,Open,High,Low,Close,Volume,RSI_14,Buy_Sell
2025-05-28,1412.9000244140625,1422.5999755859375,1410.699951171875,1420.0999755859375,5944611,54.05679613633746,0
2025-05-29,1417.800048828125,1420.0,1408.5999755859375,1412.0999755859375,13771917,57.12753994270676,0
2025-05-30,1420.9000244140625,1430.5999755859375,1409.699951171875,1418.0,13788484,55.05617977528089,0
2025-06-02,1413.699951171875,1417.5,1395.5999755859375,1412.0999755859375,8098668,42.88563133635317,0
2025-06-03,1405.5,1426.5,1403.4000244140625,1422.300048828125,11252626,50.78179717919014,0
2025-06-04,1423.5,1425.699951171875,1406.0999755859375,1414.699951171875,8126827,46.55977441892323,0
2025-06-05,1442.4000244140625,1454.699951171875,1423.5999755859375,1428.0,13716817,40.65285741711372,0
2025-06-06,1443.5,1451.5,1437.0,1441.0,8182161,46.21678542215684,0
2025-06-09,1448.800048828125,1457.5,1445.300048828125,1457.0,7885125,56.31720827057553,0
2025-06-10,1438.5,1453.9000244140625,1436.0,1450.0,7913181,59.22258234548656,0
2025-06-11,1448.9000244140625,1468.5999755859375,1443.0999755859375,1445.800048828125,8195700,58.60141806193649,0
2025-06-12,1441.5999755859375,1457.0,1434.4000244140625,1453.5,8828114,67.22995910965054,0
2025-06-13,1427.9000244140625,1435.5,1414.300048828125,1424.0,9757276,47.14693692752412,0
2025-06-16,1437.800048828125,1442.4000244140625,1424.4000244140625,1426.9000244140625,8458093,50.291562568953616,0
2025-06-17,1431.199951171875,1448.0,1425.800048828125,1448.0,10366599,59.159551249836696,0
2025-06-18,1430.0999755859375,1442.800048828125,1425.699951171875,1430.0,6681735,55.514481073856594,0
2025-06-19,1433.300048828125,1439.9000244140625,1425.699951171875,1430.0999755859375,10007230,53.8658038811309,0
2025-06-20,1466.199951171875,1471.0,1428.0999755859375,1431.0,29010635,56.23762679388828,0
2025-06-23,1456.800048828125,1463.800048828125,1442.0,1453.0,5989078,59.39985976494931,0
2025-06-24,1450.800048828125,1475.0,1443.0999755859375,1465.0,16402744,64.99703741015782,0
2025-06-25,1467.300048828125,1472.4000244140625,1460.5,1464.0,7525851,61.583018861996045,0
2025-06-26,1495.300048828125,1498.800048828125,1465.0999755859375,1469.0999755859375,14657893,59.52542333605612,0
2025-06-27,1515.4000244140625,1522.0,1496.9000244140625,1499.4000244140625,11117052,63.10260927297213,0
2025-06-30,1500.5999755859375,1524.800048828125,1496.0,1513.800048828125,8409527,68.85344776586734,0
