,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000042,2025-04-07,3234.2294921875,3251.368328518194,3018.8809120553065,3062.296322980731,6623955,3490.936389160156,,0,-0.007683235361863994,-0.0,0.8002859604509975,1.0
1970-01-01 00:00:00.000000043,1970-01-01 00:00:00.000000043,1970-01-01 00:00:00.000000043,2025-04-08,3252.899658203125,3308.2680019006634,3215.70767038631,3261.889076504213,5557558,3475.217431640625,,0,0.005772678179060575,0.0,0.8049057537519015,1.0
1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000044,2025-04-09,3207.113525390625,3230.228827873871,3172.9836893878546,3220.89381114684,2990265,3458.2735595703125,,0,-0.014075482684206664,-0.0,0.7935763167525484,1.0
1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000045,2025-04-11,3192.197021484375,3258.8266155521846,3167.0071641277755,3249.5410391127716,7108961,3441.292626953125,,0,-0.0046510682544151916,-0.0,0.7898853391382449,1.0
1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000046,2025-04-15,3208.69384765625,3274.08864453866,3199.2107519795586,3274.08864453866,3512160,3428.549523925781,,0,0.005167859646772133,0.0,0.7939673557079543,1.0
1970-01-01 00:00:00.000000047,1970-01-01 00:00:00.000000047,1970-01-01 00:00:00.000000047,2025-04-16,3233.982421875,3238.23017131478,3189.7272541040916,3208.693685671263,2384391,3416.8312866210936,,0,0.007881267400198233,0.0,0.800224824745317,1.0
1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000048,2025-04-17,3258.77734375,3263.420373380785,3178.8613788302714,3206.0269126767075,2932346,3407.012182617188,,0,0.007666993397145383,0.0,0.8063601431928712,1.0
1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000049,2025-04-21,3281.201171875,3313.20701075186,3244.15726522527,3250.084290289227,2432946,3398.3142700195312,,0,0.0068810556106284615,0.0,0.8119087521803756,1.0
1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000050,2025-04-22,3274.088623046875,3293.3514549412,3254.9246713743637,3282.18908375484,2710498,3389.2903564453127,,0,-0.0021676661855086765,-0.0,0.8101488050325557,1.0
1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000051,2025-04-23,3371.489501953125,3379.293321999538,3296.7102488988207,3324.0733003434707,3543923,3381.874169921875,3556.61228515625,0,0.029749005027117637,0.0,0.8342499259061825,1.0
1970-01-01 00:00:00.000000052,1970-01-01 00:00:00.000000052,1970-01-01 00:00:00.000000052,2025-04-24,3360.228271484375,3370.9956041985065,3346.4971849798935,3359.734352714529,2252175,3373.156494140625,3542.9900048828126,0,-0.003340135113049092,-0.0,0.8314634184356047,1.0
1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000053,2025-04-25,3406.06396484375,3435.5015728669696,3363.5869490408845,3378.404512693047,2742991,3364.21904296875,3530.449409179688,0,0.013640648686979562,0.0,0.8428051188225598,1.0
1970-01-01 00:00:00.000000054,1970-01-01 00:00:00.000000054,1970-01-01 00:00:00.000000054,2025-04-28,3401.618408203125,3415.7445325916697,3363.5866647108005,3393.2217895100143,1593296,3353.636828613281,3518.87392578125,0,-0.0013051888298372116,-0.0,0.841705098995743,1.0
1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000055,2025-04-29,3430.265869140625,3452.492213865078,3388.6778120988047,3412.9787121327167,1578332,3345.571142578125,3507.7222265625,0,0.008421715048465117,0.0,0.8487936994943253,1.0
1970-01-01 00:00:00.000000056,1970-01-01 00:00:00.000000056,1970-01-01 00:00:00.000000056,2025-04-30,3411.694580078125,3467.2110034862103,3325.061273098265,3429.772055911222,2809332,3335.8162475585937,3497.649248046875,0,-0.005413950338243767,-0.0,0.8441983725578488,1.0
1970-01-01 00:00:00.000000057,1970-01-01 00:00:00.000000057,1970-01-01 00:00:00.000000057,2025-05-02,3389.270751953125,3449.034925807151,3378.40453852512,3429.772092912052,1721761,3327.1652709960936,3487.392534179688,0,-0.006572636441708246,-0.0,0.8386497635703443,1.0
1970-01-01 00:00:00.000000058,1970-01-01 00:00:00.000000058,1970-01-01 00:00:00.000000058,2025-05-05,3412.287353515625,3461.8767511097926,3404.4832920390604,3408.0396037462647,1284443,3322.398962402344,3478.3864208984373,0,0.006791018849478636,0.0,0.8443450499228613,1.0
